Bag,Reference,VisitNum,Site,SiteName,Date,Treatment,SiteLampType,MeanLux,Time,MinsPastSunset,Temp,TransectSteps,SpiderCount
a,23 L,23,5,Little Milton,12/02/2019,Lit,HPS,0.12,21:53:00,280,8,25,3
a,23 UL,23,5,Little Milton,12/02/2019,Unlit,HPS,0.1,22:10:00,297,8,25,4
a,24 UL,24,149,Tackley 2,12/02/2019,Unlit,LED,0.1,22:52:00,339,8,35,11
a,24 L,24,149,Tackley 2,12/02/2019,Lit,LED,1.7,23:20:00,367,8,35,12
b,25 L,25,156,Heyford Leys,12/02/2019,Lit,LPS,1.2,00:10:00,417,8,35,35
b,25 UL,25,156,Heyford Leys,12/02/2019,Unlit,LPS,0.1,00:30:00,437,8,35,15
a,26 L,26,233,Radclive,12/02/2019,Lit,LED,1.22,01:00:00,467,8,25,6
a,26 UL,26,233,Radclive,12/02/2019,Unlit,LED,0.1,01:10:00,477,8,25,5
a,27 UL,27,241,A4146 Linslade,12/02/2019,Unlit,LED,0.1,02:05:00,532,8,25,12
a,27 L,27,241,A4146 Linslade,12/02/2019,Lit,LED,2.1,02:20:00,547,8,25,11
a,28 L,28,247,Haddenham,12/02/2019,Lit,LED,2.08,03:10:00,597,8,25,3
a,28 UL,28,247,Haddenham,12/02/2019,Unlit,LED,0.1,03:20:00,607,8,25,7
b,33 L,33,163,Speen,17/02/2019,Lit,LED,0.36,21:14:00,232,8,25,0
b,33 UL,33,163,Speen,17/02/2019,Unlit,LED,0.1,21:30:00,548,8,25,8
b,34 LPS,34,161,Upper Edington,17/02/2019,Lit,LPS,0.18,22:10:00,288,8,25,10
b,34 UL,34,161,Upper Edington,17/02/2019,Unlit,na,0.1,22:20:00,298,8,25,4
b,34 LED,34,161,Upper Edington,17/02/2019,Lit,LED,0.66,22:26:00,304,8,25,2
a,35 L,35,16,Uffington,17/02/2019,Lit,HPS,0.24,22:55:00,333,8,25,2
a,35 UL,35,16,Uffington,17/02/2019,Unlit,HPS,0.1,23:10:00,348,8,25,3
a,36 L,36,143,Watchfield Jct,17/02/2019,Lit,HPS,2.76,23:25:00,363,9,30,8
a,36 UL,36,143,Watchfield Jct,17/02/2019,Unlit,HPS,0.1,23:45:00,383,9,30,5
a,37 UL,37,171,Brize Norton,17/02/2019,Unlit,HPS,0.1,00:31:00,429,7,25,0
a,37 L,37,171,Brize Norton,17/02/2019,Lit,HPS,0.62,00:42:00,440,7,25,4
b,38 UL,38,149,Tackley 2,17/02/2019,Unlit,LED,0.1,01:25:00,480,6,35,5
b,38 L,38,149,Tackley 2,17/02/2019,Lit,LED,1.7,01:45:00,500,6,35,3
b,39 UL,39,233,Radclive,17/02/2019,Unlit,LED,0.1,02:45:00,560,7,25,1
b,39 L,39,233,Radclive,17/02/2019,Lit,LED,1.22,02:55:00,570,7,25,4
b,40 L,40,241,A4146 Linslade,17/02/2019,Lit,LED,2.1,03:30:00,605,7,25,3
b,40 UL,40,241,A4146 Linslade,17/02/2019,Unlit,LED,0.1,03:40:00,615,7,25,5
a,41 L,41,247,Haddenham,17/02/2019,Lit,LED,2.08,04:15:00,650,8,25,4
a,41 UL,41,247,Haddenham,17/02/2019,Unlit,LED,0.1,04:25:00,660,8,25,1
b,42 L,42,113,Chargrove Jct,17/02/2019,Lit,HPS,7.14,04:45:00,680,9,25,4
b,42 UL,42,113,Chargrove Jct,17/02/2019,Unlit,HPS,0.1,05:05:00,700,9,25,0
b,43 L,43,129,Little Baldon R'bout,17/02/2019,Lit,LED,6.32,05:25:00,720,8,25,3
b,43 UL,43,129,Little Baldon R'bout,17/02/2019,Unlit,LED,0.1,05:40:00,735,8,25,7
c,44 L,44,5,Little Milton,06/04/2019,Lit,HPS,0.12,21:10:00,84,9,25,2
c,44 UL,44,5,Little Milton,06/04/2019,Unlit,HPS,0.1,21:20:00,94,9,25,1
