Bag,Pseudospecies,Site,Lighting
B,Stripehead,25,L
B,Stripehead,25,L
B,Stripehead,43,UL
B,Stripehead,25,L
B,Stripehead,38,UL
B,Stripehead,39,L
B,Stripehead,39,UL
B,Stripehead,38,L
B,Stripehead,25,L
B,Stripehead,38,UL
B,Stripehead,38,L
B,Stripehead,38,UL
B,Stripehead,38,UL
B,Stripehead,27,L
B,Stripehead,39,L
B,Stripehead,38,UL
B,Stripehead,25,L
B,Stripehead,43,UL
B,Straws,52,L
B,Straws,52,UL
B,Straws,27,L
B,Straws,15,L
B,Straws,25,L
B,Straws,25,L
B,Straws,27,L
B,Straws,25,UL
B,Straws,25,L
B,Straws,25,L
B,Straws,25,L
B,Straws,25,L
B,Straws,27,L
B,Straws,25,L
B,Straws,25,L
B,Straws,33,UL
B,Straws,25,UL
B,Straws,25,UL
B,Straws,25,UL
B,Straws,40,UL
B,Straws,25,UL
B,Straws,25,UL
B,Straws,27,L
B,Straws,25,L
B,Straws,25,L
B,Straws,43,UL
B,Straws,25,UL
B,Straws,25,UL
B,Straws,25,L
B,Straws,25,UL
B,Spindlys,34,LPS
B,Spindlys,33,UL
B,Spindlys,34,UL
B,Spindlys,34,LPS
B,Spindlys,34,LPS
B,Spindlys,33,UL
B,Skinnies,34,L-LPS
B,Skinnies,34,LPS
B,Skinnies,34,L-LED
B,Skinnies,34,LPS
B,Skinnies,25,UL
B,Skinnies,34,UL
B,Chunks,43,UL
B,Chunks,33,UL
B,Chunks,39,L
B,Chunks,43,UL
B,Chunks,39,L
B,Raisins,38,UL
B,Raisins,40,L
B,Raisins,40,L
B,Raisins,43,UL
B,Raisins,40,L
A,Stripehead,26,L
A,Stripehead,27,UL
A,Stripehead,28,L
A,Stripehead,27,L
A,Stripehead,24,UL
A,Stripehead,36,L
A,Stripehead,27,UL
A,Stripehead,24,L
A,Stripehead,36,UL
A,Stripehead,24,UL
A,Stripehead,36,L
A,Stripehead,24,L
A,Stripehead,24,L
A,Stripehead,36,L
A,Stripehead,26,L
A,Stripehead,28,L
A,Stripehead,24,UL
A,Stripehead,24,UL
A,Stripehead,24,L
A,Stripehead,27,UL
A,Stripehead,24,UL
A,Stripehead,26,UL
A,Stripehead,35,UL
A,Stripehead,26,L
A,Stripehead,27,UL
A,Stripehead,27,UL
A,Stripehead,24,L
A,Stripehead,24,UL
A,Stripehead,24,UL
A,Stripehead,24,UL
A,Big stripehead,41,L
A,Big stripehead,26,L
A,Big stripehead,41,L
A,Big stripehead,26,UL
A,Big stripehead,24,L
A,Big stripehead,36,UL
A,Big stripehead,36,UL
A,Straws,41,L
A,Straws,27,UL
A,Straws,28,UL
A,Straws,26,L
A,Straws,28,UL
A,Straws,27,UL
A,Straws,27,L
A,Straws,26,UL
A,Straws,24,L
A,Straws,23,L
A,Straws,27,UL
A,Straws,26,UL
A,Straws,24,UL
A,Straws,26,UL
A,Straws,37,L
A,Straws,27,UL
A,Straws,41,UL
A,Straws,27,L
A,Straws,28,UL
A,Straws,27,L
A,Straws,28,UL
A,Straws,24,L
A,Straws,35,UL
A,Straws,26,L
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
NA,Rare_non_classified,NA,NA
