Sample Collection ID,Sample Unique ID,BDNA Conc/ng/uL,Storage Box,Storage Location,
25 UL,1,7.78,1,A1,
40 UL,2,6.43,1,A2,
25 L,3,53.1,1,A3,
34 LPS,4,27.9,1,A4,
25 UL,5,13.2,1,A5,
47 L,6,15.3,1,A6,
40 UL,7,14.5,1,A7,
25 UL,8,5,1,A8,
38 L,9,9.48,1,A9,
25 L,10,7.74,1,B1,
25 L,11,12.2,1,B2,
34 LPS,12,14.4,1,B3,
33 UL,13,4.65,1,B4,
34 LPS,14,40.1,1,B5,
25 L,15,8.5,1,B6,
25 L,16,14,1,B7,
25 L,17,9.72,1,B8,
43 UL,18,11,1,B9,
33 UL,19,10.9,1,C1,
25 UL,20,13.2,1,C2,
25 UL,21,11.1,1,C3,
25 UL,22,6.51,1,C4,
25 UL,23,3.61,1,C5,
25 UL,24,21.1,1,C6,
25 UL,25,15.1,1,C7,
25 UL,26,14.3,1,C8,
25 UL,27,14,1,C9,
27 UL,28,21.1,1,D1 ,
25 L,29,22.7,1,D2,
27 L,30,51.6,1,D3,
25 UL,31,9.68,1,D4,
25 L,32,7.27,1,D5,
27 L,33,10,1,D6,
25 L,34,18,1,D7,
25 L,35,4.79,1,D8,
25 UL,36,4.1,1,D9,
25 UL,37,4.82,1,E1,
25 L,38,4.07,1,E2,
25 L,39,4.71,1,E3,
25 L,40,8.91,1,E4,
27 L,41,13.8,1,E5,
25 L,42,4.25,1,E6,
25 L,43,3.96,1,E7,
40 UL,44,5.9,1,E8,
38 L,45,7.1,1,E9,
39 L,46,13.5,1,F1,
38 UL,47,11.2,1,F2,
27 L,48,5.9,1,F3,
25 L,49,1.66,1,F4,
39 L,50,8.46,1,F5,
43 UL,51,8.53,1,F6,
25 L,52,10.3,1,F7,
43 UL,53,9.4,1,F8,
25 L,54,12.9,1,F9,
38 UL,55,9.33,1,G1,
38 UL,56,12.8,1,G2,
38 UL,57,2.72,1,G3,
38 L,58,6.4,1,G4,
38 UL,59,9.93,1,G5,
39 UL,60,13.8,1,G6,
25 L,61,10.9,1,G7,
25 L,62,7.93,1,G8,
28 L,63,7.73,1,G9,
27 UL,64,10.2,1,H1,
24 L,65,5.23,1,H2,
24 L,66,8.47,1,H3,
26 L,67,12.9,1,H4,
24 L,68,7,1,H5,
27 UL,69,9.93,1,H6,
27 L,70,5.06,1,H7,
27 UL,71,6.31,1,H8,
28 L,72,6.23,1,H9,
27 UL,73,42.4,1,I1,
24 UL,74,8.6,1,I2,
24 L,75,5.31,1,I3,
24 UL,76,4.42,1,I4,
36 L,77,7.93,1,I5,
24 UL,78,3.88,1,I6,
35 UL,79,8.07,1,I7,
24 L,80,13.5,1,I8,
36 L,81,9.13,1,I9,
36 L,82,33.9,2,A1,
24 UL,83,9.82,2,A2,
26 L,84,18.7,2,A3,
24 UL,85,4.76,2,A4,
26 UL,86,25.4,2,A5,
33 UL,87,1.68,2,A6,
33 UL,88,0.06,2,A7,
34 UL,89,1.34,2,A8,
43 L,90,100,2,A9,>90
25 L,91,51,2,B1,
43 L,92,55,2,B2,
34 UL,93,3.22,2,B3,
43 L,94,23.8,2,B4,
25 L,95,1.64,2,B5,
25 L,96,8.23,2,B6,
40 UL,97,48.9,2,B7,
27 L,98,8.36,2,B8,
25 L,99,8.36,2,B9,
25 L,100,52,2,C1,
25 L,101,5.26,2,C2,
39 L,102,0,2,C3,<0.01
39 L,103,100,2,C4,>90
43 UL,104,27.6,2,C5,
33 UL,105,42.8,2,C6,
43 UL,106,100,2,C7,>90
25 UL,107,4.22,2,C8,
34 UL,108,10.9,2,C9,
34 L-LED,109,0.87,2,D1 ,
38 UL,110,8.84,2,D2,
40 L,111,41.8,2,D3,
40 L,112,59,2,D4,
40 L,113,100,2,D5,>90
43 UL,114,100,2,D6,>90
40 UL,115,100,2,D7,>90
42 L,116,14,2,D8,
42 L,117,23.5,2,D9,
25 UL,118,34.1,2,E1,
25 L,119,100,2,E2,>90
27 L,120,100,2,E3,>90
43 UL,121,58,2,E4,
33 UL,122,47.3,2,E5,
24 L,123,54,2,E6,
24 UL,124,60,2,E7,
27 UL,125,100,2,E8,>90
36 UL,126,54,2,E9,
26 L,127,57,2,F1,
24 UL,128,58,2,F2,
26 L,129,56,2,F3,
24 L,130,0,2,F4,<0.01
36 UL,131,100,2,F5,>90
26 UL,132,53,2,F6,
36 UL,133,52,2,F7,
41 L,134,0,2,F8,<0.01
41 L,135,100,2,F9,>90
26 L,136,25.9,2,G1,
28 UL,137,53,2,G2,
27 L,138,34.3,2,G3,
23 L,139,100,2,G4,>90
41 UL,140,48.1,2,G5,
26 UL,141,46,2,G6,
35 UL,142,0,2,G7,<0.01
37 L,143,100,2,G8,>90
24 L,144,58,2,G9,
26 UL,145,43.1,2,H1,
27 L,146,44.5,2,H2,
34 UL,147,100,2,H3,>90
28 UL,148,45,2,H4,
27 L,149,58,2,H5,
27 UL,150,100,2,H6,>90
24 L,151,100,2,H7,>90
26 L,152,100,2,H8,>90
27 UL,153,0,2,H9,<0.01
27 UL,154,0,2,I1,<0.01
26 UL,155,100,2,I2,>90
28 UL,156,41.1,2,I3,
27 UL,157,55,2,I4,
28 UL,158,56,2,I5,
41 L,159,2.21,2,I6,
36 L,160,1.36,2,I7,
23 L,161,4.24,2,I8,
23 UL,162,11,2,I9,
36 L,163,19.5,3,A1,
24 UL,164,18.1,3,A2,
27 L,165,12.2,3,A3,
24 UL,166,15.2,3,A4,
27 L,167,16.4,3,A5,
27 L,168,21.6,3,A6,
27 UL,169,14.2,3,A7,
27 L,170,12.4,3,A8,
28 UL,171,7.4,3,A9,
36 L,172,1.14,3,B1,
27 UL,173,13,3,B2,
36 UL,174,15,3,B3,
24 L,175,18,3,B4,
36 L,176,6.72,3,B5,
28 UL,177,12.4,3,B6,
23 L,178,1.11,3,B7,
24 L,179,6.04,3,B8,
41 L,180,100,3,B9,>90
24 L,181,17.6,3,C1,
37 L,182,0.67,3,C2,
27 L,183,100,3,C3,>90
37 L,184,100,3,C4,>90
36 UL,185,100,3,C5,>90
27 L,186,100,3,C6,>90
24 UL,187,100,3,C7,>90
27 L,188,100,3,C8,>90
28 UL,189,100,3,C9,>90
35 L,190,100,3,D1 ,>90
23 UL,191,38,3,D2,
35 UL,192,38,3,D3,
37 L,193,36.7,3,D4,
36 L,194,36,3,D5,
28 L,195,40,3,D6,
35 L,196,11.9,3,D7,
23 UL,197,28.7,3,D8,
23 UL,198,22.7,3,D9,
49 L,199,100,3,E1,>90
45 L,200,100,3,E2,>90
44 UL,201,100,3,E3,>90
47 UL,202,100,3,E4,>90
48 UL,203,100,3,E5,>90
47 UL,204,100,3,E6,>90
47 UL,205,100,3,E7,>90
47 UL,206,38,3,E8,
52 UL,207,8.47,3,E9,
52 UL,208,37.3,3,F1,
47 UL,209,3.42,3,F2,
48 UL,210,100,3,F3,>90
45 UL,211,34.7,3,F4,
47 UL,212,100,3,F5,>90
46 L,213,23.9,3,F6,
49 UL,214,20.9,3,F7,
47 UL,215,15.7,3,F8,
47 UL,216,10.7,3,F9,
45 UL,217,21.6,3,G1,
48 UL,218,100,3,G2,>90
48 L,219,100,3,G3,>90
45 UL,220,100,3,G4,>90
48 UL,221,38.7,3,G5,
45 UL,222,100,3,G6,>90
44 L,223,100,3,G7,>90
48 L,224,28.9,3,G8,
46 UL,225,100,3,G9,>90
46 UL,226,100,3,H1,>90
45 L,227,100,3,H2,>90
48 UL,228,15.7,3,H3,
47 UL,229,20.2,3,H4,
52 UL,230,100,3,H5,>90
47 L,231,100,3,H6,>90
47 UL,232,28.3,3,H7,
46 L,233,100,3,H8,>90
49 L,234,100,3,H9,>90
47 UL,235,100,3,I1,>90
44 L,236,100,3,I2,>90
45 UL,237,100,3,I3,>90
44 L,238,100,3,I4,>90
44 L,239,100,3,I5,>90
52 UL,240,100,3,I6,>90
48 L,241,36.7,3,I7,
47 L,242,37.3,3,I8,
46 UL,243,34,3,I9,
47 UL,244,30.8,4,A1,
48 UL,245,100,4,A2,>90
49 UL,246,38,4,A3,
53 UL,247,100,4,A4,>90
55 UL,248,34.7,4,A5,
53 UL,249,100,4,A6,>90
53 UL,250,100,4,A7,>90
55 UL,251,37.3,4,A8,
47 UL,252,0,4,A9,<0.01
45 UL,253,100,4,B1,>90
45 UL,254,38.7,4,B2,
60 UL,255,100,4,B3,>90
61 UL,256,100,4,B4,>90
58 L,257,100,4,B5,>90
57 UL,258,100,4,B6,>90
59 UL,259,100,4,B7,>90
69 UL,260,100,4,B8,>90
57 L,261,100,4,B9,>90
58 UL,262,100,4,C1,>90
58 L,263,100,4,C2,>90
59 L,264,100,4,C3,>90
58 UL,265,100,4,C4,>90
59 UL,266,100,4,C5,>90
71 UL,267,59,4,C6,
70 L,268,54,4,C7,
69 UL,269,42.4,4,C8,
61 L,270,100,4,C9,>90
61 L,271,30.5,4,D1 ,
61 UL,272,45.2,4,D2,
61 L,273,7.43,4,D3,
61 UL,274,8.72,4,D4,
71 UL,275,100,4,D5,>90
70 L,276,9.19,4,D6,
70 L,277,100,4,D7,>90
71 UL,278,48.8,4,D8,
63 L,279,53,4,D9,
60 UL,280,100,4,E1,>90
61 L,281,39.9,4,E2,
71 UL,282,1.62,4,E3,
70 UL,283,60,4,E4,
69 UL,284,32.9,4,E5,
70 L,285,56,4,E6,
57 UL,286,43.1,4,E7,
71 UL,287,44.7,4,E8,
70 UL,288,28.2,4,E9,
59 L,289,45.3,4,F1,
70 L,290,24.5,4,F2,
70 L,291,0.98,4,F3,
57 L,292,10,4,F4,
70 L,293,58,4,F5,
61 UL,294,100,4,F6,>90
63 L,295,100,4,F7,>90
60 UL,296,47.1,4,F8,
58 L,297,37.1,4,F9,
58 UL,298,28.4,4,G1,
59 UL,299,100,4,G2,>90
70 L,300,100,4,G3,>90
58 L,301,49.3,4,G4,
58 L,302,56,4,G5,
60 L,303,51,4,G6,
58 L,304,0,4,G7,<0.01
66 UL,305,54,4,G8,
61 L,306,100,4,G9,>90
59 UL,307,52,4,H1,
63 UL,308,54,4,H2,
70 UL,309,55,4,H3,
69 L,310,30.2,4,H4,
63 L,311,54,4,H5,
64 L,312,7.47,4,H6,
70 UL,313,56,4,H7,
58 L,314,100,4,H8,>90
28 UL,315,100,4,H9,>90
63 UL,316,27.6,4,I1,
57 UL,317,32.9,4,I2,
57 L,318,100,4,I3,>90
57 L,319,31.2,4,I4,
63 UL,320,47.9,4,I5,
63 L,321,13.6,4,I6,
60 UL,322,44.3,4,I7,
59 L,323,5.92,4,I8,
58 UL,324,43.8,4,I9,
58 L,325,46.3,5,A1,
63 L,326,5.47,5,A2,
58 L,327,27.1,5,A3,
59 UL,328,100,5,A4,>90
57 UL,329,44.4,5,A5,
63 UL,330,44.8,5,A6,
61 UL,331,58,5,A7,
58 UL,332,25.7,5,A8,
58 UL,333,56,5,A9,
69 L,334,31.8,5,B1,
60 UL,335,34,5,B2,
60 UL,336,100,5,B3,>90
61 L,337,38.4,5,B4,
61 UL,338,100,5,B5,>90
69 L,339,41,5,B6,
60 UL,340,27.1,5,B7,
61 UL,341,19,5,B8,
61 UL,342,6.17,5,B9,
61 L,343,44.6,5,C1,
69 UL,344,11.7,5,C2,
58 UL,345,25.2,5,C3,
63 UL,346,19.9,5,C4,
63 UL,347,9.12,5,C5,
60 L,348,37.9,5,C6,
60 UL,349,100,5,C7,>90
58 L,350,21.1,5,C8,
63 UL,351,58,5,C9,
58 UL,352,53,5,D1 ,
58 UL,353,8.14,5,D2,
66 UL,354,4.35,5,D3,
71 L,355,60,5,D4,
60 L,356,100,5,D5,>90
59 UL,357,11.07,5,D6,
61 L,358,22.7,5,D7,
60 L,359,38.4,5,D8,
60 UL,360,100,5,D9,>90
71 L,361,60,5,E1,
63 L,362,47.7,5,E2,
60 L,363,90.2,5,E3,
63 UL,364,56.8,5,E4,
61 UL,365,5.66,5,E5,
57 UL,366,3.2,5,E6,
37 UL,367,13.9,5,E7,
60 L,368,99.2,5,E8,
57 UL,369,37.9,5,E9,
57 UL,370,100,5,F1,>90
60 UL,371,44,5,F2,
63 L,372,18.2,5,F3,
60 UL,373,50,5,F4,
60 UL,374,60,5,F5,
60 UL,375,45.6,5,F6,
60 L,376,48,5,F7,
58 UL,377,100,5,F8,>90
60 UL,378,100,5,F9,>90
71 UL,379,41.3,5,G1,
60 L,380,39.6,5,G2,
71 UL,381,48.9,5,G3,
60 UL,382,52,5,G4,
60 UL,383,100,5,G5,>90
60 L,384,47.8,5,G6,
60 UL,385,43.8,5,G7,
71 UL,386,100,5,G8,>90
59 UL,387,100,5,G9,>90
60 L,388,36.3,5,H1,
60 UL,389,31.3,5,H2,
58 L,390,100,5,H3,>90
60 L,391,43,5,H4,
70 L,392,49.7,5,H5,
60 UL,393,0.07,5,H6,
71 UL,394,100,5,H7,>90
57 L,395,54,5,H8,
,CONTROL,0,,,
